jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-18-3408-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3408-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3408-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3410-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3410-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3412-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3412-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3414-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 17 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3414-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3417-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 19 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-18-3417-LUSC.svs | ep 20 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-4083-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 12 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-4083-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-5592-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 7 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 8 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-18-5592-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-22-4605-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 17 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 18 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-22-4605-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-2H-A9GJ-ESCA.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2H-A9GJ-ESCA.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-2L-AAQM-PAAD.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 13 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2L-AAQM-PAAD.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-2Y-A9GT-LIHC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9GT-LIHC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-2Y-A9H9-LIHC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 13 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-2Y-A9H9-LIHC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-38-4628-LUAD.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=0.050
TCGA-38-4628-LUAD.svs | ep 9 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=0.050
